CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2023,22:18,,,,,,KNAPP STREET,SHORE PARKWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4639340,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,12:00,,,,,,HYLAN BOULEVARD,TOMPKINS AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4639511,Sedan,,,,
06/20/2023,16:15,,,40.715076,-73.95189,"(40.715076, -73.95189)",BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4639372,Box Truck,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,0:00,MANHATTAN,10018,40.752934,-73.9855,"(40.752934, -73.9855)",WEST 39 STREET,AVENUE OF THE AMERICAS,,1,0,0,0,0,0,1,0,Unspecified,,,,,4639572,Sedan,,,,
06/20/2023,10:15,BROOKLYN,11218,40.646378,-73.97085,"(40.646378, -73.97085)",CHURCH AVENUE,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,4639468,Sedan,Box Truck,,,
06/20/2023,0:30,,,40.751858,-73.80798,"(40.751858, -73.80798)",LABURNUM AVENUE,,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,Unspecified,,,4639101,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
06/20/2023,19:20,,,40.819374,-73.95933,"(40.819374, -73.95933)",WEST 132 STREET,,,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,,,,4639422,Station Wagon/Sport Utility Vehicle,Bus,,,
06/20/2023,19:38,,,40.768303,-73.89962,"(40.768303, -73.89962)",DITMARS BOULEVARD,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4639709,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,17:20,QUEENS,11692,40.59302,-73.793274,"(40.59302, -73.793274)",BEACH CHANNEL DRIVE,BEACH 64 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4639513,Sedan,Box Truck,,,
06/20/2023,12:00,BROOKLYN,11226,40.644463,-73.94792,"(40.644463, -73.94792)",CORTELYOU ROAD,EAST 31 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4639782,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,8:19,BROOKLYN,11222,40.723274,-73.937416,"(40.723274, -73.937416)",ANTHONY STREET,VANDERVORT AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Driver Inattention/Distraction,,,,4639182,Sedan,Box Truck,,,
